

!! n100w20.005    20.71 829


CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
   58      24.00       4.00       0.00       2.00      30.00       0.00
   59       5.00       9.00       0.00      43.00      66.00       0.00
   60      24.00      33.00       0.00     113.00     129.00       0.00
   61      36.00      40.00       0.00     514.00     533.00       0.00
   62      15.00      43.00       0.00     238.00     260.00       0.00
   63      18.00      12.00       0.00     603.00     633.00       0.00
   64      44.00      46.00       0.00     492.00     517.00       0.00
   65      16.00      49.00       0.00     270.00     300.00       0.00
   66      10.00      47.00       0.00     342.00     359.00       0.00
   67      47.00      10.00       0.00     416.00     435.00       0.00
   68      45.00       0.00       0.00     578.00     596.00       0.00
   69      28.00      12.00       0.00     386.00     404.00       0.00
   70      18.00      29.00       0.00      89.00     123.00       0.00
   71      45.00      48.00       0.00     486.00     500.00       0.00
   72      22.00      40.00       0.00     260.00     280.00       0.00
   73       2.00      49.00       0.00     350.00     351.00       0.00
   74       9.00      36.00       0.00     298.00     318.00       0.00
   75      23.00      29.00       0.00     672.00     698.00       0.00
   76      15.00      43.00       0.00     260.00     274.00       0.00
   77      24.00      26.00       0.00     114.00     142.00       0.00
   78      31.00       3.00       0.00     395.00     416.00       0.00
   79      23.00      19.00       0.00     129.00     158.00       0.00
   80      38.00       5.00       0.00     405.00     431.00       0.00
   81      49.00      45.00       0.00     484.00     494.00       0.00
   82      44.00       5.00       0.00     434.00     461.00       0.00
   83      24.00      36.00       0.00     107.00     130.00       0.00
   84      32.00       8.00       0.00     560.00     576.00       0.00
   85      36.00      41.00       0.00     209.00     226.00       0.00
   86      33.00       4.00       0.00       0.00      19.00       0.00
   87       8.00      38.00       0.00     298.00     320.00       0.00
   88      22.00      42.00       0.00     238.00     261.00       0.00
   89       0.00      10.00       0.00      49.00      61.00       0.00
   90      32.00      34.00       0.00     156.00     173.00       0.00
   91      44.00       9.00       0.00     421.00     425.00       0.00
   92      12.00      12.00       0.00     699.00     720.00       0.00
   93      33.00      40.00       0.00     205.00     225.00       0.00
   94      15.00      39.00       0.00     250.00     278.00       0.00
   95      44.00      26.00       0.00     190.00     200.00       0.00
   96      31.00      45.00       0.00     747.00     759.00       0.00
   97      40.00      34.00       0.00     195.00     212.00       0.00
   98      12.00      43.00       0.00     247.00     275.00       0.00
   99      40.00      33.00       0.00     191.00     196.00       0.00
  100       7.00      36.00       0.00     287.00     325.00       0.00
  101       4.00      20.00       0.00     700.00     722.00       0.00
  999       0.00       0.00       0.00       0.00       0.00       0.00
